"brand","store","week","sales_","count","price_","prom_","cost_","brand_name","size","avoutprice"
1,103,18,18,24299,3.53,0,2.25,"Tylenol 25",25,0.0046634
1,103,19,28,24736,3.55,0.86,2.28,"Tylenol 25",25,0.0041066
1,103,2,22,22642,3.32,0,2.1,"Tylenol 25",25,0.0045378
1,103,20,12,23735,3.55,0,2.28,"Tylenol 25",25,0.0045692
1,103,21,30,27639,3.56,0,2.28,"Tylenol 25",25,0.0041341
1,103,22,31,23682,3.52,0,2.24,"Tylenol 25",25,0.0052715
1,103,23,20,23537,3.55,0,2.24,"Tylenol 25",25,0.0011006
1,103,24,22,24484,3.5,0,2.23,"Tylenol 25",25,0.0048445
1,103,25,22,23664,3.57,0,2.3,"Tylenol 25",25,0.0001837
1,103,26,22,23953,3.49,0,2.21,"Tylenol 25",25,0.005373
1,103,27,22,23611,3.54,0,2.28,"Tylenol 25",25,0.0061941
1,103,28,23,24076,3.52,0,2.26,"Tylenol 25",25,0.0042942
1,103,29,20,24136,3.54,0,2.28,"Tylenol 25",25,0.000184
1,103,3,17,21151,3.32,0,2.1,"Tylenol 25",25,0.0055048
1,103,30,20,24136,3.54,0,2.28,"Tylenol 25",25,0.0049418
1,103,31,24,23041,3.49,0,2.21,"Tylenol 25",25,0.0014602
1,103,32,23,23316,3.54,0,2.28,"Tylenol 25",25,0.0064684
1,103,33,23,23872,3.48,0,2.22,"Tylenol 25",25,0.0020953
1,103,34,18,24927,3.57,0,2.29,"Tylenol 25",25,0.0009122
1,103,35,20,23253,3.51,0,2.25,"Tylenol 25",25,0.0030231
1,103,36,15,23186,3.56,0,2.29,"Tylenol 25",25,0.0023877
1,103,37,14,23594,3.49,0,2.23,"Tylenol 25",25,0.0051519
1,103,38,18,24935,3.53,0.78,2.26,"Tylenol 25",25,0.0004507
1,103,39,17,19483,3.56,0,2.31,"Tylenol 25",25,0.0040306
1,103,4,37,21987,3.34,0,2.12,"Tylenol 25",25,0.0018872
1,103,40,29,18961,3.53,0,2.26,"Tylenol 25",25,0.003575
1,103,41,28,20564,3.52,0,2.26,"Tylenol 25",25,0.0057787
1,103,42,18,21761,3.5,0,2.25,"Tylenol 25",25,0.0041268
1,103,43,26,21152,3.45,0,2.18,"Tylenol 25",25,9.11e-05
1,103,44,20,23588,3.54,0,2.28,"Tylenol 25",25,0.0030247
1,103,45,19,24357,3.5,0,2.24,"Tylenol 25",25,0.0055011
1,103,46,21,24172,3.57,0,2.32,"Tylenol 25",25,0.0029362
1,103,47,16,23480,3.52,0,2.26,"Tylenol 25",25,0.001564
1,103,48,16,23546,3.51,0,2.23,"Tylenol 25",25,0.0021132
1,103,5,17,22201,3.29,0,2.06,"Tylenol 25",25,0.0045386
